                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0695,                 2.3023,                 2.5788,                 1.2864,                 0.3432,                0.30439,                0.34378,                0.24704,                0.34217,                0.30858,                0.33999,                 0.2316,                0.87022,                  1.595,                 1.8076,                 1.1525,               0.067559,             0.00032768,             0.00032768
                      2,                0.90929,                 1.9508,                 1.5845,                  1.175,                0.87374,                0.38285,                0.42003,                0.30694,                0.86966,                0.37866,                0.41136,                0.28316,                0.83112,                 1.5069,                 1.2404,                  1.132,               0.034553,             0.00065441,             0.00065441
                      3,                0.85024,                 1.7833,                 1.2429,                  1.136,                0.47536,                0.61082,                 0.5351,                0.38223,                0.48832,                0.59291,                0.52436,                0.34411,                0.77499,                 1.4326,                 1.0173,                 1.0931,              0.0015395,             0.00097448,             0.00097448
                      4,                0.77827,                 1.6139,                 1.0134,                 1.0964,                0.54271,                0.68497,                0.61212,                0.45937,                0.53762,                 0.6787,                0.60311,                0.40047,                0.74869,                 1.4024,                0.83894,                 1.0611,             0.00097003,             0.00097003,             0.00097003
                      5,                0.76239,                 1.5647,                0.93114,                 1.0765,                0.74393,                0.66857,                0.71673,                0.53052,                0.74274,                 0.6697,                0.71508,                0.48419,                0.73822,                 1.3925,                0.76046,                 1.0497,             0.00096004,             0.00096004,             0.00096004
                      6,                0.75702,                 1.5457,                0.85341,                 1.0573,                0.74026,                 0.7094,                 0.7521,                0.54298,                0.73831,                0.70835,                0.74547,                0.51061,                 0.7066,                 1.3071,                0.68869,                 1.0319,             0.00095005,             0.00095005,             0.00095005
                      7,                0.72952,                 1.4862,                0.79671,                 1.0527,                0.78487,                 0.6937,                0.79361,                0.59587,                0.78306,                0.69161,                 0.7861,                0.54584,                0.70296,                 1.3132,                0.63294,                 1.0326,             0.00094006,             0.00094006,             0.00094006
                      8,                0.71361,                 1.3863,                 0.7602,                  1.039,                0.88104,                0.70626,                0.80552,                0.62503,                0.87981,                0.70521,                 0.7991,                0.58072,                0.70697,                 1.2994,                0.62682,                 1.0351,             0.00093007,             0.00093007,             0.00093007
                      9,                0.68061,                 1.3584,                0.69719,                 1.0205,                0.83757,                0.68553,                0.78775,                0.60558,                0.83562,                0.68459,                0.78093,                   0.56,                 0.7202,                  1.289,                0.61794,                 1.0528,             0.00092008,             0.00092008,             0.00092008
                     10,                0.66387,                 1.3201,                0.67133,                 1.0096,                0.72216,                0.78724,                0.78335,                0.60983,                0.71986,                0.78084,                0.78586,                0.57131,                0.69701,                 1.2957,                0.59386,                  1.034,             0.00091009,             0.00091009,             0.00091009
                     11,                 0.6913,                 1.3818,                0.68476,                 1.0107,                0.75923,                0.67859,                0.75251,                0.55647,                0.75238,                0.67231,                0.74522,                 0.5384,                0.69797,                 1.3182,                0.59743,                 1.0255,              0.0009001,              0.0009001,              0.0009001
                     12,                0.68378,                 1.3316,                0.64813,                0.99782,                0.82355,                0.65348,                  0.782,                 0.5972,                0.81859,                0.65139,                0.77518,                0.55374,                0.69236,                  1.267,                0.55928,                 1.0286,             0.00089011,             0.00089011,             0.00089011
                     13,                0.67558,                 1.3399,                 0.6175,                  1.014,                0.69721,                0.75647,                0.78245,                0.58066,                 0.6958,                0.75333,                0.77389,                0.55243,                0.71163,                 1.2781,                0.56352,                 1.0429,             0.00088012,             0.00088012,             0.00088012
